Date,District,HCHO,CO,NO2,SO2,O3,frp,u10,v10,t2m,sp,blh
2025-01-01,Nandurbar,0.0001921595324437,0.0404730273898152,1.9942930271843817e-05,4.341182586848685e-05,0.1174682622068903,7.79,-1.6582267427380952,-0.3483151021232143,294.8319298809524,97725.09267857144,359.59308991071424
2025-01-01,Akola,0.0001485409275466,0.0390937852452159,2.337092882451995e-05,5.972290642982749e-05,0.119823464724826,,-0.2868372599854166,-0.8242759720260416,294.9777120833333,97767.52125,342.77514718749995
2025-01-01,Amravati,0.0001450165107873,0.0377952365661017,2.32859676654434e-05,4.549289241789153e-05,0.1196401085830926,,-0.6974767061914062,-1.2004763263947915,293.4242352864583,96943.96395833332,352.3146983645833
2025-01-01,Bhandara,0.0001366592293016,0.0368514417581815,3.543028405313301e-05,3.621807749861472e-05,0.1190042158122938,,-0.5901531634375,-2.322377099305556,292.8244830555556,98136.4101388889,360.2066816736111
2025-01-01,Buldana,0.0001623044260563,0.0388527554703671,1.9677891020242064e-05,3.630532584903326e-05,0.1193258643316117,13.62,-0.661025415272436,-1.370801975653846,294.5869188461538,96457.30650641026,369.44920072756406
2025-01-01,Chandrapur,0.0001388608494459,0.0424750556522498,5.538954466701641e-05,0.0001895206958688,0.1184027218338098,2.8,-0.6766913280654762,-2.102157410863095,295.0740002083333,98934.27125,405.44093019642855
2025-01-01,Dhule,0.0001766392799679,0.0406985793906262,1.9782180411700856e-05,2.3313452544957656e-05,0.1180677076050517,2.63,-1.5482084484537038,0.1411532652884259,295.0004676388889,97646.26662037036,356.54695902314813
2025-01-01,Garhchiroli,0.0001541793652226,0.0400563094204038,1.9215366734343687e-05,-4.23685322862592e-06,0.1184834280282374,,-0.197610982750625,-2.084228769583333,295.1946376041667,98496.915,410.5793789041666
2025-01-01,Jalgaon,0.0001720503365435,0.0411895259931235,2.6009514494622325e-05,5.7957897900415154e-05,0.1191886796747565,3.1,-1.4501127475194444,-0.6350683407236111,294.2551446944444,98287.95458333332,334.0205729111111
2025-01-01,Kolhapur,0.0002726812833887,0.0413564497144681,3.470368495357123e-05,6.237186097849343e-05,0.116592090186643,2.52,-2.983814103703704,-0.5082381912393519,296.4108687037037,94303.54902777776,573.9277442453704
2025-01-01,Latur,0.0001943236347198,0.0414046734963871,1.616454821845107e-05,4.551701489349392e-05,0.1180315829412388,,-1.7123025964814815,-1.1900913053425926,295.2534337037037,94931.5999537037,464.47432997685183
2025-01-01,Nagpur,0.0001402608312458,0.0362817230282044,5.212216497968093e-05,4.501904767568774e-05,0.1190838856093522,2.35,-1.1704143946166667,-1.5622737445694443,293.1249037777778,97739.54069444444,360.4448766722222
2025-01-01,Nanded,0.0001712799678192,0.0428217474562556,2.633119363203229e-05,3.397598604052789e-05,0.1187536780974609,4.65,-1.4146201238958334,-1.2558962479972222,296.0185995555556,96912.36291666668,458.4716098222222
2025-01-01,Nashik,0.000191737577833,0.0391557250568532,2.1490522781011663e-05,5.721522606215736e-05,0.1183397520653481,0.52,-1.5713917828061594,-0.3803885091380434,294.91464711956525,94927.73682971012,387.5290683876812
2025-01-01,Osmanabad,0.0002084981089757,0.0441193305538364,2.132898025241607e-05,3.949689558282136e-05,0.1175946978508554,,-2.1830677804924243,-1.2405042960833337,296.24866284090905,94603.79397727273,532.963387215909
2025-01-01,Pune,0.0002631287659243,0.0396166309854136,3.017176002405653e-05,0.0001056472621303,0.1184233907071272,1.99,-2.0493020854945176,-0.7120858579313596,295.8227805482456,94383.60019736842,467.282429245614
2025-01-01,Raigarh,0.0003734119529745,0.0491035981297146,4.655845836401071e-05,0.0001397101911358,0.1186927229994563,2.74,-0.6163508080254629,-1.233769872949074,297.9514689351852,98463.75273148148,441.68787288425926
