Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),Location,Month,Day,DayOfWeek,Season,Dispersion,AQI,AQI_Category
01-09-2025,44.85,85.33,4.63,5.58,0.56,42.09,18.99,66.44,3.14,197.95,Dhule,1,9,3,Winter,59.6286,85.0,Satisfactory
01-09-2025,72.63,157.92,26.18,11.16,0.9,41.74,24.95,47.11,1.59,109.76,Bhiwandi,1,9,3,Winter,39.6705,141.0,Moderate
01-09-2025,58.99,124.86,22.86,11.08,0.73,46.88,23.71,87.13,0.69,192.81,Mahad,1,9,3,Winter,16.3599,117.0,Moderate
01-09-2025,81.86,159.46,44.21,8.92,0.56,66.44,24.66,48.04,0.89,130.8,Thane,1,9,3,Winter,21.9474,172.0,Moderate
01-09-2025,72.87,154.08,42.5,5.91,1.13,33.79,28.23,64.16,0.51,131.49,Badlapur,1,9,3,Winter,14.3973,142.0,Moderate
01-09-2025,49.26,157.4,6.77,5.64,0.23,15.98,26.49,67.45,0.81,181.48,Kalyan,1,9,3,Winter,21.4569,138.0,Moderate
01-09-2025,34.62,99.48,13.39,9.25,0.93,48.6,28.22,46.38,1.12,128.81,Boisar,1,9,3,Winter,31.6064,99.0,Satisfactory
01-09-2025,65.48,122.74,9.81,14.67,0.32,33.79,19.55,46.21,0.39,149.09,Malegaon,1,9,3,Winter,7.6245,116.0,Moderate
01-09-2025,56.1,145.76,33.71,20.15,0.55,64.3,24.08,47.67,0.67,124.96,Parbhani,1,9,3,Winter,16.1336,131.0,Moderate
01-09-2025,51.56,117.8,14.39,14.58,0.87,40.97,22.62,42.88,0.45,117.27,Nashik,1,9,3,Winter,10.179,112.0,Moderate
01-09-2025,64.34,120.28,32.57,5.34,0.6,40.43,20.68,50.35,0.16,202.54,Aurangabad,1,9,3,Winter,3.3088,114.0,Moderate
01-09-2025,36.25,130.72,16.33,17.83,0.26,46.57,23.05,37.45,0.8,164.52,Chandrapur,1,9,3,Winter,18.44,121.0,Moderate
01-09-2025,46.99,115.11,14.04,1.25,0.41,24.32,19.88,42.61,0.62,163.69,Jalna,1,9,3,Winter,12.3256,110.0,Moderate
01-09-2025,36.25,130.72,16.33,17.83,0.26,46.57,23.05,37.45,0.8,164.52,Nagpur,1,9,3,Winter,18.44,121.0,Moderate
01-09-2025,46.3,108.12,24.71,5.28,0.34,48.73,17.93,45.73,1.11,145.59,Jalgaon,1,9,3,Winter,19.9023,106.0,Moderate
01-09-2025,61.42,134.98,29.65,10.3,0.92,29.59,21.97,52.57,1.7,135.45,Akola,1,9,3,Winter,37.349,124.0,Moderate
01-09-2025,66.18,117.76,30.43,16.31,0.67,77.69,25.67,49.7,0.77,119.69,Solapur,1,9,3,Winter,19.7659,119.0,Moderate
01-09-2025,40.67,96.37,23.56,4.01,0.52,50.97,21.47,57.44,0.42,159.22,Pune,1,9,3,Winter,9.0174,96.0,Satisfactory
01-09-2025,62.7,99.38,27.68,7.33,0.64,41.16,21.48,40.15,0.42,150.67,Latur,1,9,3,Winter,9.0216,107.0,Moderate
01-09-2025,51.38,99.48,11.41,1.51,0.71,31.86,23.45,55.5,3.0,117.28,Kolhapur,1,9,3,Winter,70.35,99.0,Satisfactory
01-09-2025,41.17,92.02,12.51,12.46,0.39,51.61,22.56,48.52,0.46,128.7,Amravati,1,9,3,Winter,10.3776,92.0,Satisfactory
01-09-2025,58.94,146.71,29.31,9.88,1.69,44.37,26.29,53.43,1.98,204.96,Ulhasnagar,1,9,3,Winter,52.0542,131.0,Moderate
01-09-2025,53.52,157.4,14.49,9.99,0.45,71.68,24.33,50.23,0.8,132.41,Nanded,1,9,3,Winter,19.464,138.0,Moderate
